Date,UV_Index
1/1/22,1.59
1/2/22,1.43
1/3/22,1.25
1/4/22,1.27
1/5/22,1.17
1/6/22,1.28
1/7/22,1.47
1/8/22,1.63
1/9/22,1.29
1/10/22,1.05
1/11/22,1.39
1/12/22,1.31
1/13/22,1.4
1/14/22,1.32
1/15/22,1.39
1/16/22,1.39
1/17/22,1.21
1/18/22,1.49
1/19/22,1.54
1/20/22,1.38
1/21/22,1.62
1/22/22,1.55
1/23/22,1.54
1/24/22,1.63
1/25/22,1.32
1/26/22,1.91
1/27/22,1.71
1/28/22,1.65
1/29/22,1.66
1/30/22,1.9
1/31/22,2.09
2/1/22,2.12
2/2/22,2.3
2/3/22,2.45
2/4/22,1.95
2/5/22,2.58
2/6/22,2.25
2/7/22,2.25
2/8/22,2.42
2/9/22,2.12
2/10/22,2.19
2/11/22,2.36
2/12/22,2.38
2/13/22,2.18
2/14/22,2.12
2/15/22,2.73
2/16/22,3.01
2/17/22,3.06
2/18/22,2.59
2/19/22,2.93
2/20/22,3.08
2/21/22,3.3
2/22/22,3.4
2/23/22,3.71
2/24/22,3.49
2/25/22,3.12
2/26/22,3.32
2/27/22,3.07
2/28/22,3.29
3/1/22,3.15
3/2/22,2.95
3/3/22,2.81
3/4/22,3.63
3/5/22,4.49
3/6/22,4.52
3/7/22,3.4
3/8/22,4.02
3/9/22,4.2
3/10/22,3.89
3/11/22,4.21
3/12/22,3.52
3/13/22,4.16
3/14/22,4.23
3/15/22,4.73
3/16/22,4.92
3/17/22,4.64
3/18/22,5.12
3/19/22,4.8
3/20/22,4.18
3/21/22,4.19
3/22/22,4.91
3/23/22,5.19
3/24/22,4.89
3/25/22,4.35
3/26/22,4.63
3/27/22,4.32
3/28/22,4.69
3/29/22,4.99
3/30/22,5.94
3/31/22,4.95
4/1/22,4.97
4/2/22,4.84
4/3/22,5.08
4/4/22,5.19
4/5/22,5.54
4/6/22,6.43
4/7/22,6.31
4/8/22,5
4/9/22,5.19
4/10/22,6.05
4/11/22,5.98
4/12/22,6.32
4/13/22,6.99
4/14/22,6.13
4/15/22,5.69
4/16/22,5.25
4/17/22,6.64
4/18/22,7.08
4/19/22,6.03
4/20/22,7.14
4/21/22,6.54
4/22/22,7.23
4/23/22,7.54
4/24/22,7.53
4/25/22,8.08
4/26/22,6.79
4/27/22,6.17
4/28/22,6.26
4/29/22,6.46
4/30/22,6.73
5/1/22,7.37
5/2/22,7.35
5/3/22,7.72
5/4/22,7.41
5/5/22,7.67
5/6/22,7.28
5/7/22,7.41
5/8/22,7.43
5/9/22,7.38
5/10/22,7.72
5/11/22,8.64
5/12/22,8.28
5/13/22,8.05
5/14/22,7.99
5/15/22,8.19
5/16/22,7.11
5/17/22,7.45
5/18/22,7.9
5/19/22,8.28
5/20/22,8.62
5/21/22,9.01
5/22/22,8.82
5/23/22,8.34
5/24/22,8.49
5/25/22,9.32
5/26/22,9.28
5/27/22,8.87
5/28/22,8.49
5/29/22,8.89
5/30/22,9.05
5/31/22,9.05
6/1/22,9.04
6/2/22,8.23
6/3/22,8.32
6/4/22,8.1
6/5/22,8.21
6/6/22,9.34
6/7/22,8.23
6/8/22,8.78
6/9/22,8.32
6/10/22,8.16
6/11/22,8.07
6/12/22,8.06
6/13/22,9.33
6/14/22,9.15
6/15/22,10.14
6/16/22,8.61
6/17/22,8.03
6/18/22,7.91
6/19/22,7.98
6/20/22,9.84
6/21/22,9.34
6/22/22,9.52
6/23/22,9.72
6/24/22,9.85
6/25/22,9.08
6/26/22,8.64
6/27/22,9.3
6/28/22,9.31
6/29/22,9.4
6/30/22,9.42
7/1/22,8.91
7/2/22,9.61
7/3/22,8.66
7/4/22,9.11
7/5/22,9.53
7/6/22,9.11
7/7/22,8.34
7/8/22,9.38
7/9/22,9.92
7/10/22,9.14
7/11/22,8.63
7/12/22,7.87
7/13/22,8.88
7/14/22,8.75
7/15/22,9.17
7/16/22,9.37
7/17/22,9.46
7/18/22,9.47
7/19/22,9.21
7/20/22,8.96
7/21/22,9.38
7/22/22,9.3
7/23/22,8.93
7/24/22,9.06
7/25/22,9.02
7/26/22,8.68
7/27/22,8.88
7/28/22,9.03
7/29/22,8.75
7/30/22,8.74
7/31/22,8.98
8/1/22,8.75
8/2/22,8.87
8/3/22,8.65
8/4/22,8.57
8/5/22,8.09
8/6/22,7.18
8/7/22,7.88
8/8/22,7.49
8/9/22,7.52
8/10/22,7.52
8/11/22,7.66
8/12/22,7.4
8/13/22,7.84
8/14/22,7.88
8/15/22,7.97
8/16/22,7.73
8/17/22,7.66
8/18/22,7.67
8/19/22,7.61
8/20/22,7.43
8/21/22,7.35
8/22/22,7.55
8/23/22,7.27
8/24/22,6.94
8/25/22,6.92
8/26/22,7.3
8/27/22,7.52
8/28/22,7.15
8/29/22,6.94
8/30/22,6.66
8/31/22,6.69
9/1/22,6.86
9/2/22,6.6
9/3/22,6.75
9/4/22,6.64
9/5/22,6.57
9/6/22,6.19
9/7/22,6.14
9/8/22,6.18
9/9/22,5.89
9/10/22,5.22
9/11/22,6.6
9/12/22,6.55
9/13/22,6.64
9/14/22,6.57
9/15/22,6.19
9/16/22,6.14
9/17/22,6.18
9/18/22,6.14
9/19/22,5.89
9/20/22,5.22
9/21/22,5.62
9/22/22,4.54
9/23/22,5.03
9/24/22,4.93
9/25/22,5.02
9/26/22,4.53
9/27/22,4.83
9/28/22,4.68
9/29/22,5.22
9/30/22,5.16
10/1/22,4.97
10/2/22,4.69
10/3/22,4.66
10/4/22,4.45
10/5/22,4.3
10/6/22,4.17
10/7/22,8.88
10/8/22,3.67
10/9/22,3.5
10/10/22,3.61
10/11/22,3.7
10/12/22,3.7
10/13/22,3.69
10/14/22,3.68
10/15/22,3.7
10/16/22,3.5
10/17/22,3.48
10/18/22,3.43
10/19/22,3.58
10/20/22,3.58
10/21/22,3.47
10/22/22,3.6
10/23/22,3.6
10/24/22,3.27
10/25/22,3.9
10/26/22,2.82
10/27/22,2.92
10/28/22,2.5
10/29/22,2.874
10/30/22,2.9
10/31/22,2.82
11/1/22,3.5
11/2/22,2.97
11/3/22,2.89
11/4/22,2.62
11/5/22,2.64
11/6/22,2.72
11/7/22,3
11/8/22,2.53
11/9/22,2.42
11/10/22,2.4
11/11/22,1.18
11/12/22,1.81
11/13/22,1.4
11/14/22,1.51
11/15/22,1.64
11/16/22,1.78
11/17/22,1.84
11/18/22,1.74
11/19/22,1.98
11/20/22,1.77
11/21/22,1.58
11/22/22,1.67
11/23/22,1.42
11/24/22,1.64
11/25/22,1.64
11/26/22,1.3
11/27/22,1.44
11/28/22,1.5
11/29/22,1.53
11/30/22,1.54
12/1/22,49.23
12/2/22,1.26
12/3/22,53
12/4/22,1.4738
12/5/22,1.24
12/6/22,1
12/7/22,1.33
12/8/22,1.38
12/9/22,1.4
12/10/22,1.16
12/11/22,1.27
12/12/22,1.6
12/13/22,1.37
12/14/22,1.56
12/15/22,1.7
12/16/22,
12/17/22,
12/18/22,
12/19/22,
12/20/22,
12/21/22,
12/22/22,
12/23/22,
12/24/22,
12/25/22,
12/26/22,
12/27/22,
12/28/22,
12/29/22,
12/30/22,
12/31/22,
